56070.38	17.10	0.08	16.60	0.07	16.30	0.07
56077.80	17.12	0.07	16.55	0.06	16.24	0.07
56085.69	17.14	0.08	16.67	0.08	16.36	0.08
56091.67	17.26	0.08	16.77	0.08	16.50	0.08
56098.52	17.54	0.08	17.07	0.08	16.68	0.08
56106.06	17.77	0.10	17.24	0.10	16.96	0.10
56107.44	17.75	0.10	17.21	0.10	16.95	0.10
56112.68	18.43	0.09	17.69	0.09	17.27	0.09
